Id,Country,Date_of_decision,Fine,Controller_Processor,Quoted_Article,Type,Source,Authority,Sector,Summary
ETid-11,CYPRUS,01/01/2019,10000,Newspaper,['Art. 6 GDPR'],Insufficient legal basis for data processing,<a class='blau' href='https://www.agplaw.com/cyprus-gdpr-commissioner-fines-newspaper-and-hospital/' target='_blank'>link</a>,Cypriot Data Protection Commissioner,"Media, Telecoms and Broadcasting","The publication of the newspaper, both in hard copy and in electronic form, allegedly involved inconvenience, unnecessary and unlawful detention of a citizen, and revealed the names and pictures of the two police investigators involved, as well as the photograph of a third police investigator.

The Commissioner considered that the aim could be achieved by referring only to the initials of their name and/or their faces being blurred and/or publishing photographs drawn from a distant distance so that it was impossible to identify the persons, and these actions would not bring any change in the nature of the case."
ETid-12,CZECH REPUBLIC,10/01/2019,388,Employer,['Art. 6 GDPR'],Insufficient legal basis for data processing,<a class='blau' href='https://www.uoou.cz/assets/File.ashx?id_org=200144&id_dokumenty=34464' target='_blank'>link</a>,Czech Data Protection Auhtority (UOOU),Employment,A former employee of a company requested the deletion of information relating to him/her which was published on the Facebook website of the employer and which was still available long after the termination of the employment relationship. The fine was imposed because the employer did not delete the information relating to the former employee.
ETid-13,CZECH REPUBLIC,04/02/2019,1165,Car renting company,['Art. 5 (1) a) GDPR'],Insufficient fulfilment of information obligations,<a class='blau' href='https://www.uoou.cz/assets/File.ashx?id_org=200144&id_dokumenty=34465' target='_blank'>link</a>,Czech Data Protection Auhtority (UOOU),Industry and Commerce,A person who rented a car found out that the car was tracked via GPS by the renting company even though there was no information provided on the fact that the car is being tracked. The Czech Data Protection Authority found that there was no information provided in terms of Art. 13 GDPR and that Art. 6 (1) f) GDPR could not be the legal basis under the concrete circumstances. Due to that the UOOU found that there was a violation of Art. 5 (1) a) GDPR for which it imposed the fine.
ETid-14,CZECH REPUBLIC,28/02/2019,582,Unknown,['Art. 32 GDPR'],Insufficient technical and organisational measures to ensure information security,<a class='blau' href='https://www.uoou.cz/assets/File.ashx?id_org=200144&id_dokumenty=34466' target='_blank'>link</a>,Czech Data Protection Auhtority (UOOU),Unknown,"Data was not processed in a manner that ensures appropriate security of the personal data, including protection against unauthorised or unlawful processing and against accidental loss, destruction or damage, using appropriate technical or organisational measures ('integrity and confidentiality')."
ETid-15,CZECH REPUBLIC,04/02/2019,1165,Credit brokerage,['Art. 32 GDPR'],Insufficient technical and organisational measures to ensure information security,<a class='blau' href='https://www.uoou.cz/assets/File.ashx?id_org=200144&id_dokumenty=34467' target='_blank'>link</a>,Czech Data Protection Auhtority (UOOU),"Finance, Insurance and Consulting","Data was not processed in a manner that ensures appropriate security of the personal data, including protection against unauthorised or unlawful processing and against accidental loss, destruction or damage, using appropriate technical or organisational measures ('integrity and confidentiality')."
ETid-16,CZECH REPUBLIC,25/10/2018,388,Unknown,['Art. 15 GDPR'],Insufficient fulfilment of data subjects rights,<a class='blau' href='https://www.uoou.cz/assets/File.ashx?id_org=200144&id_dokumenty=34468' target='_blank'>link</a>,Czech Data Protection Auhtority (UOOU),Unknown,Information was not provided.
ETid-17,CZECH REPUBLIC,26/02/2019,776,Unknown,['Art. 15 GDPR'],Insufficient fulfilment of data subjects rights,<a class='blau' href='https://www.uoou.cz/assets/File.ashx?id_org=200144&id_dokumenty=34469' target='_blank'>link</a>,Czech Data Protection Auhtority (UOOU),Unknown,Information was not provided.
ETid-18,CZECH REPUBLIC,21/03/2019,10000,Unknown,['Art. 5 (1) GDPR'],Non-compliance with general data processing principles,<a class='blau' href='https://www.uoou.cz/assets/File.ashx?id_org=200144&id_dokumenty=34470' target='_blank'>link</a>,Czech Data Protection Auhtority (UOOU),Unknown,"Data was not only processed if adequate, relevant and limited to what is necessary in relation to the purposes for which they are processed ('data minimisation') and not only kept in a form which permits identification of data subjects for no longer than is necessary for the purposes for which the personal data are processed ('storage limitation')."
ETid-19,CZECH REPUBLIC,,3140,"UniCredit Bank Czech Republic and Slovakia, a.s.",['Art. 6 GDPR'],Insufficient legal basis for data processing,<a class='blau' href='https://www.uoou.cz/kontrola-zpracovani-osobnich-udaju-bankou-unicredit-bank-czech-republic-and-slovakia-a-s/ds-5705/archiv=0&p1=5653' target='_blank'>link</a>,Czech Data Protection Auhtority (UOOU),"Finance, Insurance and Consulting",The bank established a personal bank account for a data subject without his consent or knowledge. The bank supposedly had his personal data available because the subject had disposed of his employer’s company account. The bank was not able to provide The Office for Personal Data Protection with the necessary documentation to prove entering into contract with the data subject.
ETid-20,CZECH REPUBLIC,06/05/2019,194,Unknown,['Art. 15 GDPR'],Insufficient fulfilment of data subjects rights,<a class='blau' href='https://www.uoou.cz/assets/File.ashx?id_org=200144&id_dokumenty=34472' target='_blank'>link</a>,Czech Data Protection Auhtority (UOOU),Unknown,Information was not provided.
ETid-21,DENMARK,01/01/2019,160000,Taxa 4x35,['Art. 5(1) e) GDPR'],Non-compliance with general data processing principles,<a class='blau' href='https://www.datatilsynet.dk/presse-og-nyheder/nyhedsarkiv/2019/mar/datatilsynet-indstiller-taxaselskab-til-boede-paa-1-2-mio-kr/' target='_blank'>link</a>,Danish Data Protection Authority (Datatilsynet),Transportation and Energy,"The Danish DPA reported the taxi company to the police and recommended a fine (of 1.2M DKK) for non-adherence to the data-minimization principle. While the company deleted the names of its passengers from all its records after two years, the deletion did not include the rest of the ride records (about 8,873,333 taxi trips). Hence, the company continued to hold onto individual's phone numbers. 

Please note: Since Danish law does not provide for administrative fines as in the GDPR (unless it is an uncomplicated case and the accused person consented), fines will be imposed by courts."
ETid-22,DENMARK,12/02/2021,13450,IDdesign A / S,"['Art. 5 (1) e) GDPR', ' Art. 5 (2) GDPR']",Non-compliance with general data processing principles,<a class='blau' href='https://www.datatilsynet.dk/tilsyn-og-afgoerelser/afgoerelser/2019/jun/tilsyn-med-iddesigns-behandling-af-personoplysninger/' target='_blank'>link</a>,Danish Data Protection Authority (Datatilsynet),Industry and Commerce,"Original summary: On June 3, 2019, the Danish DPA (Datatilsynet) reported IDdesign to the police and demanded payment of a fine in the amount of EUR 200,850 for the processing of personal data of approximately 385,000 customers for a longer period than necessary for the purposes for which they were processed.  Additionally, the company had not established and documented deadlines for deletion of personal data in their new CRM system. The deadlines set for the old system were not deleted after the deadline for the information had been reached. Also, the controller had not adequately documented its personal data deletion procedures. 

Please note: Since Danish law does not provide for administrative fines as in the GDPR (unless it is an uncomplicated case and the accused person consented), fines will be imposed by courts. 

Update: On February 12, 2021 the Aarhus District Court decided to impose a fine against IDdesign in the amount of EUR 13,450. With regard to the calculation of the fine, the court disagreed with the proposed amount of the fine. It concluded that the amount should be calculated on the basis of the company's own turnover and not that of the entire group. In addition, the court considered that the mitigating circumstances under Art. 83 (2) GDPR should be taken into account when calculating the fine. Such as that the company had not previously breached the GDPR, as well as that the breach concerned only general personal data. In addition, no data subject suffered damages as a result of the breach. Finally, the court considers that the negligent nature of the breach should be taken into account."
ETid-23,FRANCE,21/01/2019,50000000,Google LLC,"['Art. 13 GDPR', ' Art. 14 GDPR', ' Art. 6 GDPR', ' Art. 5 GDPR']",Insufficient legal basis for data processing,<a class='blau' href='https://www.cnil.fr/en/cnils-restricted-committee-imposes-financial-penalty-50-million-euros-against-google-llc' target='_blank'>link</a>,French Data Protection Authority (CNIL),"Media, Telecoms and Broadcasting","The fine was imposed on the basis of complaints from the Austrian organisation 'None Of Your Business' and the French NGO 'La Quadrature du Net'. The complaints were filed on 25th and 28th of May 2018 - immediately after the GDPR became applicable. The complaints concerned the creation of a Google account during the configuration of a mobile phone using the Android operating system. The CNIL imposed a fine of 50 million euros for lack of transparency (Art. 5 GDPR), insufficient information (Art. 13 / 14 GDPR) and lack of legal basis (Art. 6 GDPR). The obtained consents had not been given 'specific' and not 'unambigous' (Art. 4 nr. 11 GDPR)."
ETid-24,FRANCE,28/05/2019,400000,SERGIC (Real Estate),['Art. 5 (1) e) GDPR'],Insufficient technical and organisational measures to ensure information security,<a class='blau' href='https://www.legifrance.gouv.fr/affichCnil.do?oldAction=rechExpCnil&id=CNILTEXT000038552658&fastReqId=119744754&fastPos=1' target='_blank'>link</a>,French Data Protection Authority (CNIL),Real Estate,"The CNIL based the penalty on two grounds: Lack of basic security measures and excessive data storage. As to the first, sensitive user documents uploaded by rental candidates (including ID cards, health cards, tax notices, certificates issued by the family allowance fund, divorce judgments, account statements) were accessible online without any authentication procedure in place. Although the vulnerability was known to the company since March 2018, it was not finally resolved until September 2018. In addition, the company stored the documentation provided by candidates for longer than necessary. The CNIL took into account i.a. the seriousness of the breach (lack of due care in addressing vulnerability and the fact that the documents revealed very intimate aspects of users' lives), the size of the company and its financial standing."
ETid-25,GERMANY,21/11/2018,20000,Knuddels.de,['Art. 32 GDPR'],Insufficient technical and organisational measures to ensure information security,<a class='blau' href='https://www.baden-wuerttemberg.datenschutz.de/lfdi-baden-wuerttemberg-verhaengt-sein-erstes-bussgeld-in-deutschland-nach-der-ds-gvo/' target='_blank'>link</a>,Data Protection Authority of Baden-Wuerttemberg,"Media, Telecoms and Broadcasting","After a hacker attack in July personal data of approx. 330.000 users, including passwords and email addresses had been revealed."
ETid-26,GERMANY,17/12/2018,5000,"Kolibri Image
Regina und Dirk Maass GbR",['Art. 28 (3) GDPR'],Insufficient data processing agreement,"<a class='blau' href='https://www.heise.de/newsticker/meldung/DSGVO-5000-Euro-Bussgeld-fuer-fehlenden-Auftragsverarbeitungsvertrag-4282737.html' target='_blank'>link</a> 

<a class='blau' href='https://kolibri-image.com/causa-datenschutz/' target='_blank'>link</a>",Data Protection Authority of Hamburg,Industry and Commerce,"Please note: According to our information this fine has been withdrawn in the meantime. 

Kolibri Image had send a request to the Data Protection Authority of Hessen asking how to deal with a service provider who does not want to sign a processing agreement. After not answering Kolibri Image in more detail, the case was forwarded to the locally responsible Data Protection Authority of Hamburg. This Authority then fined Kolibri Image as controller for not having a processing agreement with the service provider. Kolibri Image has stated that they will challenge the decision in front of court since they are of the opinion that the service provider does not act as a processor."
ETid-27,GERMANY,12/04/2019,80000,Company in the financial sector,"['Art. 5 GDPR', ' Art. 32 GDPR']",Insufficient technical and organisational measures to ensure information security,<a class='blau' href='https://www.baden-wuerttemberg.datenschutz.de/wp-content/uploads/2019/07/PM-Datenschutzverletzungen-bereiten-zunehmend-Sorge-30.07.2019.pdf' target='_blank'>link</a>,Data Protection Authority of Baden-Wuerttemberg,"Finance, Insurance and Consulting","In an administrative decision dated 12 April 2019, the authority imposed a fine of 80,000 euros on a medium-sized financial services company. This company had failed to take the necessary care to preserve the integrity and confidentiality of information within the meaning of Art. 5 para. 1 lit. f GDPR when disposing of documents containing personal data of two customers. Thus, without prior anonymisation, the papers were disposed of in the general waste paper recycling system, where the documents were found by a neighbour."
ETid-28,GERMANY,05/02/2019,2500,Private person,"['Art. 6 GDPR', ' Art. 5 GDPR']",Insufficient legal basis for data processing,"<a class='blau' href='https://www.baden-wuerttemberg.datenschutz.de/wp-content/uploads/2020/01/35.-T%C3%A4tigkeitsbericht-f%C3%BCr-den-Datenschutz-Web.pdf#page=44&zoom=100,0,0' target='_blank'>link</a>",Data Protection Authority of Sachsen-Anhalt,Individuals and Private Associations,"The fine was impossed against a private person who sent several e-mails between July and September 2018, in which he used personal e-mail addresses visible to all recipients, from which each recipient could read countless other recipients. The man was accused of ten offences between mid-July and the end of July 2018. According to the authority's letter, between 131 and 153 personal mail addresses were identifiable in his mailing list."
ETid-29,GERMANY,01/01/2018,20000,Unknown,"['Art. 33 (1) GDPR', ' Art. 34 (1) GDPR']",Insufficient fulfilment of data breach notification obligations,"Page 134 of the activity report of the Data Protection Commissioner of Hamburg, accessible under <a class='blau' href='https://datenschutz-hamburg.de/assets/pdf/27._Taetigkeitsbericht_Datenschutz_2018_HmbBfDI.pdf' target='_blank'>link</a>",Data Protection Authority of Hamburg,Unknown,Late notification of a data breach and failure to notify the data subjects.
ETid-30,GERMANY,,118,Unknown,['Art. 6 GDPR'],Insufficient legal basis for data processing,<a class='blau' href='https://indd.adobe.com/view/d639298c-3165-4e30-85d8-0730de2a3598' target='_blank'>link</a>,Data Protection Authority of Saarland,Unknown,Illegal disclosure of personal data relating to a third party.
ETid-32,GERMANY,01/03/2019,50000,N26,['Art. 6 GDPR'],Insufficient legal basis for data processing,Page 131 of the activity report of the Data Protection Commissioner of Berlin <a class='blau' href='https://www.zaftda.de/tb-bundeslaender/berlin/695-tb-lfd-berlin-2018-ohne-drs-nr-vom-28-03-2019/file' target='_blank'>link</a>  <a class='blau' href='https://www.handelsblatt.com/finanzen/banken-versicherungen/datenspeicherung-schwarze-listen-so-bekam-n26-aerger-mit-datenschuetzern/24204544.html?ticket=ST-2292400-vgiEKfzmY6g2zEmLwLgj-ap1' target='_blank'>link</a>,Data Protection Authority of Berlin,"Finance, Insurance and Consulting","The fine was imposed against against a bank (according to a newspaper N26) that had processed 'personal data of all former customers' without permission.The Bank has acknowledged that it had retained data relating to former customers in order to maintain a blacklist, a kind of warning file, so that it would not make a new account available to these persons. The bank initially justified this by stating that it was obliged under the German Banking Act to take security measures against customers suspected of money laundering. The Berlin supervisory authority judged this to be illegal. The authority argues that in order to prevent a new bank account from being opened, only those affected may be included in a comparison file who are actually suspected of money laundering or for whom there are other valid reasons for refusing a new bank account. The authority told a newspaper that the fine proceedings initiated against the bank had 'not yet been legally concluded'."
ETid-33,HUNGARY,08/02/2019,1560,Bank,['Art. 5 (1) d) GDPR'],Non-compliance with general data processing principles,<a class='blau' href='http://www.cms-lawnow.com/ealerts/2019/03/hungary-fines-two-companies-for-gdpr-infringement?cc_lang=en' target='_blank'>link</a>  <a class='blau' href='https://www.naih.hu/files/NAIH-2019_363_hatarozat.pdf' target='_blank'>link</a>,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),"Finance, Insurance and Consulting","A bank mistakenly sent SMS messages about a subject's credit card debt to the telephone number of another person. After receiving an incorrect telephone number from the client at the time of contracting, the bank did not comply with the data subject's request to erase the data and continued to send SMS message to the incorrect telephone number. The fine represents 0.0016% of the annual profit of the bank."
ETid-34,HUNGARY,20/02/2019,1560,Debt collector,"['Art. 5 (1) a) GDPR', ' Art. 5 (1) c) GDPR']",Non-compliance with general data processing principles,<a class='blau' href='http://www.cms-lawnow.com/ealerts/2019/03/hungary-fines-two-companies-for-gdpr-infringement?cc_lang=en' target='_blank'>link</a> <a class='blau' href='https://www.naih.hu/files/NAIH-2019-1841_hatarozat.pdf' target='_blank'>link</a>,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),"Finance, Insurance and Consulting","A data subject requested information about and erasure of the data processed, which the debt collector refused stating that it could not identify the subject. For identification purposes he requested place of birth, mother’s maiden name and further details from the data subject. After the controller succeeded to identify the data subjects he refused to comply with the deletion request, arguing he is legally obliged to retain backup copies according to the Accountancy Act and internal policies. Since he did not properly inform about these policies, the NAIH held the controller breached the principle of transparency. The fine constitutes 0.0025% of the annual profit of the controller."
ETid-35,HUNGARY,18/12/2018,3200,Unknown,"['Art. 12 (4) GDPR', ' Art. 15 GDPR', ' Art. 18 (1) c) GDPR', ' Art. 13 GDPR']",Insufficient fulfilment of data subjects rights,<a class='blau' href='https://www.naih.hu/files/NAIH-2018-5559-H-hatarozat.pdf' target='_blank'>link</a>,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),Unknown,"The fine was imposed for (i) not providing a data subject with CCTV recordings, (ii) not retaining recordings for further use by the data subject, and (iii) not informing the data subject about his right to lodge a complaint to the supervisory authority."
ETid-36,HUNGARY,28/02/2019,3200,Mayor's Office of the city of Kecdkemét,"['Art. 5 (1) a) GDPR', ' Art. 6 GDPR']",Insufficient legal basis for data processing,<a class='blau' href='https://www.naih.hu/files/NAIH-2019-596-hatarozat.pdf' target='_blank'>link</a> <a class='blau' href='http://www.cms-lawnow.com/ealerts/2019/03/hungarys-data-protection-authority-levies-two-eur-3100-fines-for-privacy-violations?cc_lang=en' target='_blank'>link</a>,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),Public Sector and Education,"The fine was imposed on the Mayor’s Office of the city of Kecskemét for unlawful disclosure of the personal information of a whistleblower.NAIH imposed the fine after an employee of an organisation that it supervised reported a public interest complaint directly to it against his employer. After the organisation learned of the complaint, it requested details in order to investigate, and the local government accidentally revealed the complainant's name. The NAIH considered it an aggravating factor that as a result of the data breach, the organisation fired the person who made the report."
ETid-37,HUNGARY,04/03/2019,3200,Unnamed financial institution,"['Art. 5 (1) b) GDPR', ' Art. 5 (1) c) GDPR', ' Art. 13 (3) GDPR', ' Art. 17 (1) GDPR', ' Art. 6 (4) GDPR']",Insufficient fulfilment of data subjects rights,<a class='blau' href='https://www.naih.hu/files/NAIH-2019-2526-2-H-hatarozat.pdf' target='_blank'>link</a> <a class='blau' href='http://www.cms-lawnow.com/ealerts/2019/03/hungarys-data-protection-authority-levies-two-eur-3100-fines-for-privacy-violations?cc_lang=en' target='_blank'>link</a>,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),"Finance, Insurance and Consulting","The fine was imposed in relation to a data subject's request for data correction and erasure. NAIH levied a fine against an unnamed financial institution for unlawfully rejecting a customer’s request to have his phone number erased after arguing that it was in the company's legitimate interest to process this data in order to enforce a debt claim against the customer. In its decision, the NAIH emphasised that the customer’s phone number is not necessary for the purpose of debt collection because the creditor can also communicate with the debtor by post. Consequently, keeping the phone number of the debtor was against the principles of data minimisation and purpose limitation. As per the law, the assessed fine was based on 0.025% of the company's annual net revenue."
ETid-38,HUNGARY,05/04/2019,34375,Hungarian political party,"['Art. 33 (1) GDPR', ' Art. 33 (5) GDPR', ' Art. 34 (1) GDPR']",Insufficient fulfilment of data breach notification obligations,<a class='blau' href='http://www.cms-lawnow.com/ealerts/2019/04/hungarian-data-authority-investigates-two-cases-of-privacy-breaches?cc_lang=en' target='_blank'>link</a>,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),Public Sector and Education,"NAIH imposed a fine of HUF 11,000,000 (EUR 34,375) on an undisclosed Hungarian political party for failing to notify the NAIH and relevant individuals about a data breach, and failing to document the breach according to GDPR Article 33.5. As mandated by law, the fine was based on 4% of the party's annual turnover and 2.65 % of its anticipated turnover for the coming year.

The breach was the result of a cyber attack by an anonymous hacker who accessed and disclosed information on the vulnerability of the organisation’s system – a database of more than 6,000 individuals – and the command used for the attack. The system was vulnerable to attack because of a redirection problem with the organisation's webpage. After the attacker published the command, even people with low IT knowledge were able to retrieve information from the database."
ETid-39,ITALY,17/04/2019,50000,Italian political party Movimento 5 Stelle,['Art. 32 GDPR'],Insufficient technical and organisational measures to ensure information security,<a class='blau' href='https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/9101974' target='_blank'>link</a>,Italian Data Protection Authority (Garante),Public Sector and Education,"A number of websites affiliated to the Italian political party Movimento 5 Stelle are run, by means of a data processor, through the platform named Rousseau. The platform had suffered a data breach during the summer 2017 that led the Italian data protection authority, the Garante, to require the implementation of a number of security measures, in addition to the obligation to update the privacy information notice in order to give additional transparency to the data processing activities performed.While the update of the privacy information notice was timely completed, the Italian data protection authority, raised its concerns as to the lack of implementation on the Rousseau platform of some of GDPR related security measures. It is worth it to mention that the proceeding initiated before May 2018, but the Italian data protection authority issued a fine under the GDPR since the Rousseau platform had not adopted security measures required by means of an order issued after the 25th of May 2018. Interestingly, the fine was not issued against the Movimento 5 Stelle that is the data controller of the platform, but against the Rousseau association that is the data processor."
ETid-40,LITHUANIA,16/05/2019,61500,Payment service provider UAB MisterTango,"['Art. 5 GDPR', ' Art. 32 GDPR', ' Art. 33 GDPR']",Insufficient fulfilment of data breach notification obligations,<a class='blau' href='https://www.ada.lt/go.php/lit/Imones-atsakomybes-neisvengs--lietuvoje-skirta-zenkli-bauda-uz-bendrojo-duomenu-apsaugos-reglamento-pazeidimus-/1' target='_blank'>link</a>,Lithuanian Data Protection Authority (VDAI),"Finance, Insurance and Consulting","During an inspection, the Lithuanian Data Protection Supervisory Authority found that the controller processed more data than necessary to achieve the purposes for which he was a controller. In addition, it became known that from 09 - 10 July 2018 payment data were publicly available on the internet due to inadequate technical and organisational measures. 9,000 payments with 12 banks from different countries were affected. According to the supervisory authority, a data breach notification pursuant to Art. 33 GDPR would have been necessary. The controller did not report the Data Breach."
ETid-41,MALTA,18/02/2019,5000,Lands Authority,"['Art. 5 GDPR', ' Art. 32 GDPR']",Insufficient technical and organisational measures to ensure information security,<a class='blau' href='https://www.gvzh.com.mt/malta-news/idpc-fines-lands-authority-data-breach/' target='_blank'>link</a>,Data Protection Commissioner of Malta,Public Sector and Education,"As a result of the lack of appropriate security measures on the Lands Authority website, over 10 gigabytes of personal data became easily accessible to the public via a simple google search. The majority of the leaked data contained highly-sensitive information and correspondence between individuals and the Authority itself. The Lands Authority chose not to appeal. In Malta, in the case of a breach by a public authority or body, the Data Protection Commissioner may impose an administrative fine of up to €25,000 for each violation and may additionally impose a daily fine of €25 for each day such violation persists."
ETid-42,NORWAY,01/03/2019,170000,Bergen Municipality,"['Art. 5 (1) f) GDPR', ' Art. 32 GDPR']",Insufficient technical and organisational measures to ensure information security,<a class='blau' href='https://www.datatilsynet.no/en/about-privacy/reports-on-specific-subjects/administrative-fine-of-170.000--imposed-on-bergen-municipality/' target='_blank'>link</a>,Norwegian Supervisory Authority (Datatilsynet),Public Sector and Education,"The incident relates to computer files with usernames and passwords to over 35000 user accounts in the municipality’s computer system. The user accounts related to both pupils in the municipality’s primary schools, and to the employees of the same schools. Due to insufficient security measures, these files have been unprotected and openly accessible. The lack of security measures in the system made it possible for anyone to log in to the school’s various information systems, and thereby to access various categories of personal data relating to the pupils and employees of the schools.

The fact that the security breach encompasses personal data to over 35 000 individuals, and that the majority of these are children, were considered to be aggravating factors. The municipality had also been warned several times, both by the authority and an internal whistleblower, that the data security was inadequate."
